product_name,unit,quantity,vol,value
Marshall’s Creek Spices Kosher Thyme Ground Refill,ounce,16,16.0,16.0
"Orion Choco Boy, Chocolate Covered Biscuits",Ounce,1,144,5.0795
Bits N Things Sun Dried Tomatoes,Ounce,5,28,28.0
True Lime Garlic & Cilantro Seasoning,Ounce,3.88,1,3.88
Grandma's Mini Sandwich Cremes Vanilla,Ounce,60,2.12,127.2
Ocean's Halo,Ounce,1,56.0,56.0
George Washington Golden Seasoning and Broth,Ounce,24,1,24.0
Ginger Mints,Ounce,32,1,32.0
Jet-Puffed Marshmallow Creme,Ounce,7,7.0,7.0
SupHerb Farms Super Blanched Fine Basil,Ounce,7,112.0,112.0
Gerber Mealtime for Baby,Ounce,12,2.5,30.0
QUAKER Frescavena Vanilla,Ounce,2,11.1,22.2
Mt. Olive Sweet Relish,Ounce,96,8,96.0
"True Lemon, True Lime & True Orange Dispenser Packets",Ounce,8.46,1,8.46
POSHI Marinated Artichoke Hearts,Count,1,4.4,1.0
Bertolli Mushroom Alfredo Sauce,Fl Oz,12,15,180.0
Smucker's Simple Delight Hot Fudge Topping,oz,11.5,11.5,11.5
Tapioca Pearl - Black Sugar Flavor,Fl Oz,2,8.8,8.8
Takis Fuego,Ounce,46,1,46.0
SPICES VILLAGE Dehydrated Bell Peppers Mix,Ounce,16,16.0,16.0
OG2 WOOD TOMATO KETCHUP,Count,12,19.5,1.0
Bob's Red Mill Organic Steel Cut Oats,Ounce,2,24,48.0
Nylabone Just for Puppies Double Action Bone Puppy Dog Teething Chew Toy,Count,1,1,1.0
Taste Of Thai Mix Rice Coconut Ginger J,Ounce,1,2.12,2.12
Mr & Mrs T Pina Colada Mix,Fl Oz,136,136.0,136.0
Coffee mate Original Powdered Coffee Creamer,Ounce,35.3,35.3,35.3
Ambrosia Semi-Sweet Real Chocolate Drop Chips,Fl Oz,25,25,400.0
Ruta Maya Organic Decaffeinated Coffee Dark Roast,Ounce,2.2,2.2,35.2
Next Organics Dark Chocolate Cashews,oz,4,24.0,24.0
LARGE My Grandma's Chocolate Chip Coffee Cake,Ounce,50,3.1,50.0
Lunchable Nacho with Capri Sun Convenience Meal,Ounce,8,10.7,10.7
REDMOND Real Sea Salt,Ounce,1,26,26.0
"Simple Mills Almond Flour Pancake & Waffle Mix, Pumpkin",Ounce,10.7,32.1,32.1
Fried Onions Crispy Topping by Jans,Ounce,8,0.8,8.8
Pascha Bulk Organic Bitter Sweet Chocolate Chips 85% Cacao,Ounce,160,1,160.0
The Spice Way Granulated Garlic,Ounce,1,8.0,8.0
Cucina Antica Tomato Basil Sauce,Count,6,25,6.0
Chock Full o’Nuts Upper West Side Dark Roast,Ounce,3.8,7.6,7.6
Iberia Pink Kidney Beans in Sauce with Herbs,Ounce,1,15.5,15.0
Hills Bros Original Blend Medium Roast Coffee,Ounce,3,26,78.0
Fusion Select 2 Packs Sweet Potato Glass Noodles,Ounce,7.05,200,14.1
Life Savers Pep O Mint Candy,Ounce,6.25,6.25,6.2
Prego Marinara Italian Sauce,Ounce,23,23,276.0
Traditional Medicinals Tea Rstd Dandln Root O,Count,48,48,48.0
Bakol Jel Dessert,Ounce,12,3,36.0
"Power Up Protein Packed Trail Mix – Almonds, Cashews, Raisins & Pumpkin Seeds – No Peanuts, Non-GMO, Gluten-Free, Vegan Friendly, Kosher, No Artificial Ingredients – 14 oz Resealable Bags (Pack of 6)",Ounce,14,14,84.0
Jovial Whole Grain Brown Rice Stelline Pasta,Ounce,2,12,24.0
Reese Clam Juice,Fl Oz,72,72,72.0
Felix Lingonberries,None,14.5,,
Badia Garlic Rstd,Count,12,12,12.0
Bubble Gum Yerba Mate Tea (Loose),Ounce,8,0.0,8.0
Manischewitz - Thin Matzos,Ounce,10,10,10.0
Starbucks Hot Cocoa Classic Mix,Ounce,2,12,12.0
Bixbi - Jerky Skin & Coat Bf Livr,Ounce,6,5,30.0
Barry's Tea Gold Blend,Count,80,6,480.0
Del Monte Canned Fresh Cut Blue Lake Green Beans,Ounce,14.5,14.5,14.5
Kashi TLC Chewy Granola Bar Honey Almond Flax,Count,1,1.0,1.0
"Mediterranean, Ready to Eat Basmati Rice Pilaf",Count,12,8.8,12.0
Essentia Ionized Alkaline 9.5 pH Bottled Water,Fl Oz,12,1,405.6
Liquid I.V. Hydration Multiplier,Ounce,30,16.93,16.93
Seed + Mill - Tahini Sauce,Ounce,16,16.0,16.0
Simply Organic Whole Pepper Grinder,Ounce,3,0.3,3.0
"HARIBO Gummi Candy, Starmix",Ounce,1,8,80.0
Briannas Champagne Caper Vinaigrette,Count,6,12,6.0
Cinnamon Cheerios,Ounce,14.3,14.3,14.3
Herdez Queso Dip,Jar,3,15,3.0
Bob's Red Mill Corn Flour,Count,3,22,3.0
Lalvin EC-1118 Yeast by Lallemand Inc,Count,2,0,2.0
Tostitos Salsa Variety Pack,Count,1,15.5,1.0
StarKist Chunk White Tuna in Water,Ounce,5,240,240.0
Liquid Alchemist Grenadine Syrup,Fl Oz,12,12.0,12.0
Starburst Minis Original Sweets Treat Bag,Ounce,1,4.4,4.4
"Bull-Dog, Vegetable & Fruit Sauce",Fl Oz,67.6,16.9,67.6
Beulah's Mini Gummy Worms,Ounce,1,16,16.0
"Kellogg's Breakfast Cereal, Frosted Mini-Wheats, Strawberry",oz,21,21.0,21.0
Simply Organic Ssnng Garlic Pwdr Org Bttl,Count,1,1,1.0
CANDYMAN (3 LBS) Chocolate Candy Bundle,Ounce,3,48,48.0
Walkers Shortbread Fingers,Ounce,12,5.3,63.6
"Brach's Fall Festival, Kettle Corn, Caramel Apple, and Cotton Candy Flavored Halloween Candy Corn",Ounce,8,0.125,8.0
MW Polar All Natural CHUNK LIGHT TUNA,Ounce,5,60.0,60.0
Frantoi Cutrera - Primo & Selezione Extra Virgin Olive Oil Set of 2,Fl Oz,50.8,50.8,50.8
Katz Gluten Free Coffee Buns,Ounce,8.5,6,51.0
Godiva Chocolatier Pink Ribbon,Count,18,18.0,18.0
PEACE COFFEE Organic Twin Cities Blend Coffee,Ounce,12,12,12.0
Frontera Foods Enchilada Sauce,Ounce,6,8,48.0
Mott's Unsweetened Granny Smith Applesauce,Ounce,2,23.4,46.8
igourmet 4 Countries of Europe Cheese,Count,1,1.0,1.0
Celestial Seasonings Tea Zngr Rspbry,Count,1,1,1.0
NOW Nature's Shield Oil Blend,Ounce,1,1,1.0
Heinz Ketchup,Ounce,95,1.0,95.0
Fragrant Tales Premium Ceylon Black Tea,Count,30,60,30.0
Emerald Nuts,Ounce,240,1,240.0
Lotus Biscoff Sandwich Cookies,Ounce,9,5.29,5.29
Orville Redenbacher's Microwave Popcorn,Ounce,1.5,1.5,17.98
InfuSio Coffee Pods,Count,96,96.0,96.0
Dunkin' Donuts Ground Coffee,Ounce,1,1,32.0
MILK THISTLE ADVNTG,Ounce,1,1,1.0
Sadaf Tikka Masala Seasoning,Ounce,3.986,4,3.986
Rub Some Butt Carolina Style Barbecue Sauce,Ounce,18,18.0,18.0
Pistachio Lemon Rooibos Tea,Count,25,25.0,25.0
Woodstock Farms Organic Smooth Peanut Butter,Fl Oz,12,16,192.0
Jelly Belly Jewel Very Cherry Jelly Beans,Ounce,160,160,160.0
Cento Pepper Red Yellow Roasted,Ounce,12,12,144.0
Del Monte Veggieful Veggie Bowl,oz,7.4,,
San Diego Coffee Chocolate Macadamia Nut DECAF,Ounce,16,16.0,16.0
"Zevia Zero Calorie Soda, Lemon Lime Twist",Fl Oz,12,12,144.0
BEER NUTS Cashews,ounce,12,4,48.0
"Triple Leaf Tea, Detox",Count,120,120,120.0
Maxwell House International Original Cappuccino Instant Coffee,Count,1,8.3,1.0
Jelly Belly Fruit Bowl Mix Jelly Beans,Ounce,160,1,160.0
"Big Dot of Happiness Boy 16th Birthday - Mini Candy Bar Wrappers, Round Candy Stickers and Circle Stickers - Sweet Sixteen Birthday Party Candy Favor Sticker Kit",Count,1,1.0,1.0
Prince of Peace Dong Quai & Red Date Instant Tea,Count,6,10,6.0
Lipton Tea Grain Decaf Honey Lemon,Count,20,20,20.0
MILKY WAY Milk Chocolate Candy Bars,Ounce,10.65,10.65,10.65
NCS Green Palm Tree Edible Candy Cake Toppers,Count,1,8,1.0
Chefmaster Red Red Liqua-Gel® Food Coloring,Fl Oz,1,10.5,1.0
Scunci Headwrap Visor Assorted,Count,1,1,1.0
Smoke Camp Crafts Rosemary Thyme Jelly,Count,1,5,1.0
Cadbury Bitsa Wispa Chocolate,Count,10,110,10.0
"Chex Mix Snack Mix, Turtle",Ounce,8,0,8.0
Traditional Dark Liquid Malt Extract,Count,1,32,1.0
Food to Live - Organic Spearmint Leaves,Ounce,12,12.0,12.0
HoneyTree Sugar Free Imitation Honey,Fl Oz,12,72.0,72.0
Nurture Life Overnight Oats,Count,1,1.0,1.0
Siete Vegan Refried Black Beans,Ounce,16,192.0,192.0
Ready America 10 Year Shelf Life Water,Fl Oz,405.6,12,405.6
HIMALAYA Organic Garlic,Count,60,60,60.0
Blueberry Merlot Decaf Black Tea,Ounce,8,16.0,16.0
Wild Strawberry Black Tea,Ounce,8,16.0,16.0
"Starbucks, Frappuccino, Caramel",Fl Oz,15,9.5,142.5
NOW Foods Raw Energy Nut Mix,Ounce,16,16,64.0
LorAnn Anise Oil,Fl Oz,1.0,0.0125,1.0
Hi Chew Grape,None,16,,
Chile Crunch,Ounce,24,24.0,24.0
Nairn's Gluten-Free Apple & Cinnamon Breakfast Biscuits,Ounce,5.64,1,1.0
"Nissin Cup Noodles Soup, Shrimp Flavor",Ounce,12,2.25,27.0
Wholesome Sweeteners Agave Blue Raw Org,Ounce,264,44,264.0
Marshall's Creek Spices,Ounce,22,22.0,22.0
"Cape Cod, Kettle Cooked Potato Chips Original Sea Salt",Ounce,5,5.0,5.0
Primal Kitchen Buffalo Sauce,Ounce,16.5,33.0,33.0
Butter Nut Yerba Mate Tea,Count,75,0,75.0
One/N Bath Salt Rose,Count,1,2.5,1.0
Del Monte Mexican Corn,Ounce,11,11,132.0
"Peets Coffee, Major Dickason's Decaffeinated Ground Coffee",ounce,12,24.0,24.0
Ring Pop Gummies Gems,Count,16,3.7,16.0
Taste of Thai Coconut Milk,Fl Oz,1,13.5,13.5
Tangerine Tea (Loose),Ounce,8,16.0,16.0
Litehouse Freeze-Dried Flavors,Ounce,1,1.3699999999999999,1.3699999999999999
Yerba Madre Organic Sparkling Yerba Mate,Fl Oz,144,144,144.0
Oi! Toasted Sesame Oil,Fl Oz,8.4,8.4,8.4
Blue Runner New Orleans Spicy Creole Cream Style Navy Beans,Ounce,27,12,324.0
Melrose 92458DS 15 in. Polyester & Plastic Angelica Bundle Green & Pink,Count,2,15,2.0
Ronzoni Rigatoni,Fl Oz,16,16,16.0
Muscle Milk Genuine Protein Powder,Ounce,79.04,4.94,79.04
Rose’s Sweetened Strawberry Syrup,Fl Oz,12,12,12.0
"Trident White, Gum Spearmint",Count,60,1,60.0
Cadbury Dairy Milk Crunchie,Ounce,180,180,6.3
Lemongrass Green Tea,Count,150,150,150.0
Bob's Red Mill Peanut Butter Banana & Oats Bar,Ounce,1,12,21.12
Frontier Co-op Garlic Granules,Ounce,2.7,2.7,2.7
Cheez-It Cheese Crackers,Ounce,12,12,19.1
Finest Call White Sangria,ounces,12,33.81,405.72
FATTY Grass-Fed Beef Smoked Meat Sticks,Ounce,2,40.0,40.0
hostess Baby Bundts,Ounce,12,2.5,30.0
Lee Kum Kee 5 lb. Black Bean Garlic Sauce,Fl Oz,400,5,400.0
Generic L.ittle Italy Spicy Pasta Sauce,Ounce,12,32.0,32.0
A Dozen Cousins Meals Ready to Eat,Ounce,30,1,30.0
Simply Organic Dip Mix Guacamole Org,Count,12,0.8,1.0
Tic Tac Holiday Seasonal Naughty Lumps of Coal Cherry Flavored Mints,Count,1,0.84,1.0
Primrose (1) Bag Old Fashion Mix Hard Candy,Ounce,14,14,14.0
Crystal Light On The Go Grape,count,50,8,50.0
"Amazon Fresh, Mashed Potatoes",Ounce,26.7,26.7,26.7
REESE'S Assorted Flavored Snack Size,Ounce,36.03,1,36.03
Betty Crocker Scooby Doo Fruit Snacks,Ounce,96,0.9,86.4
Mrs Renfro Salsa Texas Rd Craft Beer,Ounce,16,16,16.0
PAM Baking Cooking Spray,Ounce,3,5,15.0
TeeLux Turmeric Ginger Cinnamon Tea,Count,100,100.0,100.0
Brickhouse City Roast,Ounce,12,12.0,12.0
Teavana Starbucks Chamomile Mint Blossom Herbal Tea Sachets,Ounce,24,0.11,0.11
Craize Everything Crisps,Ounce,4,24.0,24.0
Buddha Teas - Organic Echinacea Elderberry Blend - Herbal Tea,Count,18,18,18.0
Mc Cormick Mayonnaise With Lime Juice,Fl Oz,28,2,56.0
The Bean Organic Coffee Company Island Blend,Ounce,16,16.0,16.0
King Arthur Baking Company Pull-Apart Garlic Bread Mix Kit,Ounce,15.25,15.25,15.25
Marshall’s Creek Spices Rotisserie Chicken No Salt Seasoning,ounce,11,11,11.0
Pride Of India - PACK of 6 - Natural Three Color Quinoa,Ounce,1,20,20.0
"Lehi Roller Mills, Cookie Mix, Pumpkin Chocolate Chip",Count,12,1,1.0
NUT-rition Energy Mix,Ounce,1,5.5,5.5
Watkins Ssnng Black Pepr Grnd Org,Count,3,2.8,3.0
"King Arthur, Keto Wheat Pancake Mix",Ounce,12,12,72.0
REESE'S Assorted Flavored Snack Size Peanut Butter Eggs,Ounce,29.4,29.4,29.4
Hydro Flask Small Protective Soft Silicone Water Bottle Flex Boot,Count,1,1,1.0
Goya Foods Estrellas (Stars) Pasta,Fl Oz,20,7,140.0
Nasopure Refill Kit,Count,40,1,1.0
Chef's Cut Smoked Beef and Pork Jerky Meat Sticks,Ounce,1,12,12.0
Cameron's Coffee Roasted Ground Coffee,Ounce,32,2.5,32.0
Green Mountain Nantucket Blend,Count,100,100,100.0
Baking Soda Powder,Ounce,96,1,96.0
Paradise Tropical Tea the Original,Ounce,3,0.3,75.0
Harney & Sons Fine Teas Organic Peppermint,Count,50,150,150.0
Snack Factory Pretzel Crisp Bfflo Wng,Count,12,12,12.0
Polar Seltzer,Fl Oz,12,33.8,405.6
Peggy’s Marinade & Dipping Sauce,Ounce,12,36.0,36.0
Fanta Orange Soda,Count,16,20,16.0
HERB-OX Sodium Free Chicken Bouillon,Ounce,1.5,1.5,18.0
Precision W538-J4425 5oz Mrs Wages Pasta Sauce Tomato Mix,Fl Oz,5,5,5.0
Michaels Marinara Sauce,Count,1,16,1.0
Nurture Life Overnight Oats,Count,1,1.0,1.0
Marshall’s Creek Spices Seasoning,ounce,22,22.0,22.0
McCormick 30% Less Sodium Chicken Gravy Mix,Ounce,0.87,0.87,0.87
Specialty Herbs & Spices Celery Salt,Count,6,6,6.0
Owen’s Craft Mixers,Fl Oz,12,25.0,25.0
Tasty Bite Variety,Ounce,64,1,64.0
Extra Spearmint Sugarfree Gum,Count,45.0,45.0,45.0
Fancy Feast Cat Food Sliced Chicken Hearts & Liver Feast In Gravy,oz,3,3.0,3.0
Tuscany Oro Selecto Organic Espresso,Fl Oz,80,1000,80.0
Sprecher Root Beer,Fl Oz,16,16,192.0
Simply Sunflower All-Natural Sunflower Oil,Fl Oz,96,16,96.0
Kraft Minute Tapioca,Ounce,8,1,8.0
Holle Organic Baby Food Pouches - Power Parrot,Fl Oz,21,21.0,21.0
Farmhouse Fudge,Count,1,1.0,1.0
Blueberry Boba Pearls,Ounce,112.88,112.88,112.88
Imagine Foods Organic Creamy Tomato Soup,Ounce,32,1,32.0
Bocce's Bakery 856019005235 14 oz. Dog Biscuits - Chicken & Pumpkin,Fl Oz,14,14,14.0
Sarris Chocolate Covered Pretzels,Ounce,8,1,8.0
Protein One 90 Calorie Protein Bars,Ounce,4.8,4.8,4.8
Demet's Turtles Original,Ounce,2,17.5,35.0
Biokoma Pure and Organic Plantain Dried Leaves,Ounce,1,1.76,1.76
Sesame Sticks Original,Ounce,1,16,16.0
Starkist Chunk Light Tuna In Sunflower Oil,Pouch,20,2.6,nan
Gardein Ultimate Plant-Based Meatball Marinara Bowl,Ounce,9,9.0,9.0
Farmland Traditions Dogs Love 100% Large Sliced Sweet Potato Jerky Treats for Dogs,Count,1,1.0,1.0
Starbucks Zero Hazelnut Flavored Liquid Coffee Creamer,Ounce,28,28.0,28.0
Allspice Berry Green Tea,Count,50,50.0,50.0
"Weis Quality, Cherries",Count,1,1,1.0
BodyArmor LYTE Watermelon,Ounce,16,16,16.0
Rani Curry Powder Mild,Ounce,80,80.0,80.0
Keebler Cheese and Peanut Butter Crackers,Ounce,1,1.8,1.8
Special Tea Organic Blueberry Black Tea,Count,20,20,20.0
Premium Raw Pine Nuts,Ounce,1,16,16.0
Pearl Milling Company Buttermilk Pancake and Waffle Mix,Ounce,2,31.9935,31.9935
Bob's Red Mill Gluten Free Pancake Mix,Ounce,4,22,88.0
Inglehoffer Horseradish Sqz Cream,Count,12,12,12.0
Water Storing Crystals,Ounce,1,12,12.0
"English Tea Store Loose Leaf Pouches, Ginger Naturally Flavored Black Tea",Ounce,4,0,4.0
Organic Cleanse and Detox Tea for Women,Count,30,1,30.0
Nacho Cheese Seasoning Mix,Ounce,3.6,5.2,5.2
Weiman High-Traffic Hardwood Floor Polish and Restorer,Fl Oz,27,32,27.0
Nordic Catch Grade A5 Japanese Wagyu Filet Mignon Steak Without Bone,Ounce,1,8.0,8.0
Holiday Blend Milk Chocolate Candies,Ounce,1,5.8,5.8
Woodstock Organic Mustard,Count,1,8,1.0
Bigelow Tea Lemon Ginger,Count,12,12,12.0
Arrowhead Mills Organic Spelt Flour,Ounce,22,132.0,132.0
Amoretti - Peach Craft Puree®,pound,9,9.0,9.0
Community Coffee Creamer,Ounce,88.0,1,1
SWERVE Granular Sweetener,Ounce,340,12,12.0
